index,DR Number,Date Occurred,Time Occurred,latitude,longitude
10,120615848,2012-06-08,08:45,34.0981,-118.3158
35,120210154,2012-04-23,11:35,34.0693,-118.2687
42,120114705,2012-06-24,15:30,34.0541,-118.2417
69,120112579,2012-05-24,11:20,34.0541,-118.2312
80,120112821,2012-05-28,11:40,34.0644,-118.2387
85,120114544,2012-06-23,17:30,34.0673,-118.2354
95,120109462,2012-04-05,19:20,34.065,-118.2418
97,120107483,2012-03-04,14:20,34.0571,-118.2435
99,120121366,2012-06-14,22:00,34.059,-118.2474
102,120113056,2012-05-31,15:30,34.0649,-118.2399
104,120108745,2012-03-25,19:45,34.059,-118.2474
117,120114410,2012-06-12,18:05,34.0661,-118.2476
119,120112113,2012-05-17,06:15,34.0565,-118.2445
128,120108166,2012-03-15,15:30,34.0613,-118.2446
140,120111883,2012-05-14,09:15,34.0552,-118.2322
147,120111180,2012-05-02,17:25,34.0644,-118.2387
148,120114263,2012-06-19,20:10,34.059,-118.2474
157,120112030,2012-05-16,09:40,34.0628,-118.2395
167,120109343,2012-04-04,11:50,34.0552,-118.2322
175,120109658,2012-03-28,23:00,34.0609,-118.2435
179,120109491,2012-04-05,21:25,34.0541,-118.2417
180,120112594,2012-05-24,17:35,34.0582,-118.2465
183,120112315,2012-05-20,10:50,34.0644,-118.2387
196,120113895,2012-06-13,22:50,34.0736,-118.2312
203,120108999,2012-03-28,15:50,34.0609,-118.2435
217,120109993,2012-04-14,02:20,34.0548,-118.2377
227,120114552,2012-06-24,03:20,34.0566,-118.2319
252,120109274,2012-04-03,15:45,34.0544,-118.2466
253,120110166,2012-04-17,16:00,34.0628,-118.2395
257,120107482,2012-03-04,17:20,34.057,-118.2437
263,120112438,2012-05-22,12:00,34.0504,-118.2345
266,120112124,2012-05-17,13:05,34.0566,-118.2319
267,120110599,2012-04-24,15:50,34.0548,-118.2377
273,120112893,2012-05-29,12:30,34.0582,-118.2465
281,120109825,2012-04-11,16:15,34.0557,-118.2436
287,120110311,2012-04-18,18:00,34.0557,-118.2436
298,120110705,2012-04-25,22:20,34.0586,-118.2402
299,120112276,2012-05-20,23:30,34.0563,-118.2309
315,120110411,2012-04-21,11:00,34.0568,-118.2425
316,120109382,2012-04-04,16:20,34.0561,-118.2415
328,120111588,2012-05-09,07:50,34.0557,-118.2436
329,120111336,2012-05-04,11:55,34.0562,-118.2414
333,120112769,2012-05-27,14:00,34.0561,-118.2415
337,120113839,2012-06-12,18:39,34.0688,-118.2333
340,120114540,2012-06-23,17:30,34.0673,-118.2354
345,120107786,2012-03-08,20:45,34.0562,-118.2414
346,120110717,2012-04-04,11:30,34.0644,-118.2387
360,120114247,2012-06-19,12:10,34.0558,-118.24
367,120111655,2012-05-09,22:55,34.0568,-118.2425
372,120114036,2012-06-15,16:40,34.065,-118.2384
390,120108933,2012-03-28,16:45,34.0565,-118.2445
394,120108362,2012-03-19,16:00,34.0541,-118.2417
399,120111744,2012-05-11,14:05,34.0644,-118.2387
401,120111454,2012-05-06,15:05,34.0628,-118.2395
406,120114708,2012-06-26,16:35,34.0527,-118.2314
416,120112684,2012-05-25,21:50,34.0586,-118.2402
417,120110501,2012-04-22,23:55,34.0537,-118.2379
420,120114542,2012-06-23,18:05,34.0736,-118.2312
429,120111027,2012-04-30,13:05,34.0568,-118.2426
435,120109414,2012-04-03,23:59,34.0502,-118.2336
437,120112242,2012-05-19,01:50,34.0607,-118.2494
438,120112277,2012-05-20,23:31,34.0563,-118.2309
457,120113404,2012-06-07,01:25,34.0682,-118.2502
459,120110435,2012-04-21,17:15,34.0582,-118.2465
461,120108498,2012-03-21,15:50,34.065,-118.2384
472,120114772,2012-06-27,17:15,34.0646,-118.2372
491,120113024,2012-05-31,17:10,34.0644,-118.2387
492,120110289,2012-04-19,17:05,34.0582,-118.2465
498,120114281,2012-06-13,12:30,34.0566,-118.2319
502,120113348,2012-06-05,10:30,34.0522,-118.2342
517,120107426,2012-03-03,12:20,34.0549,-118.2426
518,120109893,2012-04-13,01:20,34.065,-118.2418
522,120110896,2012-04-28,11:05,34.0565,-118.2445
534,120113823,2012-06-12,17:25,34.0561,-118.2415
535,120111394,2012-05-05,03:55,34.0552,-118.2322
540,120113403,2012-06-06,22:50,34.0582,-118.2465
546,120112025,2012-05-16,13:05,34.0566,-118.2319
547,120109085,2012-03-31,03:00,34.0565,-118.2445
569,120114227,2012-06-19,08:05,34.0558,-118.24
571,120108027,2012-03-13,13:40,34.0557,-118.2436
575,120108138,2012-03-15,10:50,34.0568,-118.2425
581,120109227,2012-04-01,00:55,34.0582,-118.2465
582,120114422,2012-06-21,16:20,34.0628,-118.2395
597,120108338,2012-03-17,19:30,34.0673,-118.2489
607,120114543,2012-06-23,17:30,34.0673,-118.2354
623,120110602,2012-04-24,16:10,34.0646,-118.2372
626,120114488,2012-06-22,16:00,34.0537,-118.2455
628,120107747,2012-03-08,13:20,34.0549,-118.2426
629,120112739,2012-05-26,23:22,34.065,-118.2384
641,120108094,2012-03-14,06:00,34.0557,-118.2436
645,120110999,2012-04-18,17:56,34.0568,-118.2426
646,120112114,2012-05-17,15:00,34.0541,-118.2312
649,120110073,2012-04-02,12:00,34.0552,-118.2322
683,120213411,2012-06-24,00:50,34.0652,-118.2492
686,120210424,2012-04-28,22:25,34.0856,-118.3005
691,120213292,2012-06-21,22:45,34.0652,-118.2492
696,120211412,2012-05-18,23:00,34.0703,-118.268
697,120208143,2012-03-17,12:15,34.072,-118.2722
707,120207343,2012-03-02,12:55,34.0693,-118.2687
709,120213580,2012-06-27,10:20,34.0764,-118.2905
714,120209517,2012-04-11,14:25,34.0836,-118.2917
715,120211453,2012-05-19,17:15,34.0725,-118.2748
716,120212160,2012-06-02,03:00,34.0691,-118.2578
727,120212508,2012-06-08,07:00,34.0697,-118.2697
734,120211972,2012-05-29,01:00,34.0694,-118.2655
744,120210091,2012-04-22,12:45,34.0836,-118.295
746,120208365,2012-03-12,17:00,34.0703,-118.268
750,120212373,2012-06-01,22:00,34.0836,-118.295
757,120213480,2012-06-25,15:50,34.0682,-118.2609
772,120207581,2012-03-07,02:30,34.0703,-118.268
773,120210767,2012-05-05,09:45,34.0836,-118.2953
776,120209229,2012-04-06,09:20,34.071,-118.2759
786,120213299,2012-06-21,17:00,34.0765,-118.2815
790,120207413,2012-03-03,23:00,34.0667,-118.2546
798,120213016,2012-06-17,16:25,34.0729,-118.2664
802,120213503,2012-06-25,20:45,34.0729,-118.2664
808,120212732,2012-06-11,22:50,34.0745,-118.2793
809,120208034,2012-03-15,17:30,34.0818,-118.2917
810,120208510,2012-03-23,22:00,34.0668,-118.2514
819,120211591,2012-05-21,18:15,34.0836,-118.3005
820,120209620,2012-04-13,12:20,34.0691,-118.2611
829,120212121,2012-06-01,12:35,34.0745,-118.2793
837,120211712,2012-05-24,18:50,34.0729,-118.2757
838,120209041,2012-04-02,20:40,34.0813,-118.2992
840,120210895,2012-05-07,18:00,34.068,-118.2517
842,120210344,2012-04-27,07:20,34.0703,-118.268
843,120208889,2012-03-28,07:30,34.0703,-118.268
848,120209239,2012-04-04,18:00,34.0717,-118.2671
852,120210394,2012-04-28,10:30,34.0691,-118.2611
859,120209498,2012-04-10,23:20,34.071,-118.2759
860,120212099,2012-05-31,08:05,34.0745,-118.2654
863,120212193,2012-06-02,20:45,34.0705,-118.2569
864,120210222,2012-04-24,15:10,34.0691,-118.2645
869,120211863,2012-05-27,10:50,34.0699,-118.2596
870,120209353,2012-04-08,02:10,34.0697,-118.2591
880,120210059,2012-04-21,13:30,34.0744,-118.2617
883,120207459,2012-03-05,02:00,34.0791,-118.2929
886,120211630,2012-05-21,16:00,34.0687,-118.2632
895,120207405,2012-03-03,18:25,34.071,-118.2702
896,120210979,2012-05-09,11:39,34.0858,-118.295
902,120212610,2012-06-09,00:25,34.0638,-118.2534
903,120209619,2012-04-13,15:15,34.0741,-118.2784
904,120211356,2012-05-17,19:45,34.0751,-118.2743
905,120209636,2012-04-13,23:05,34.0652,-118.2492
906,120209195,2012-04-05,06:50,34.0703,-118.268
909,120207749,2012-03-09,23:30,34.0796,-118.2844
910,120209574,2012-04-12,15:10,34.0678,-118.259
912,120212175,2012-06-01,13:00,34.0656,-118.2621
915,120208099,2012-03-16,15:30,34.0791,-118.294
916,120212347,2012-06-04,20:30,34.0724,-118.2666
917,120211190,2012-05-14,08:45,34.0784,-118.2791
919,120210648,2012-05-02,17:55,34.0703,-118.268
923,120210793,2012-05-06,02:40,34.0687,-118.2632
927,120207833,2012-03-11,19:30,34.0648,-118.2527
929,120211564,2012-05-21,18:15,34.071,-118.2759
937,120208205,2012-03-19,08:45,34.0707,-118.2693
944,120209005,2012-03-27,12:10,34.0703,-118.268
947,120209724,2012-04-16,13:00,34.0693,-118.2687
954,120208853,2012-03-29,21:15,34.0763,-118.2917
958,120208039,2012-03-15,15:10,34.064,-118.2505
971,120209411,2012-04-09,14:20,34.0632,-118.2513
974,120207578,2012-03-06,15:30,34.079,-118.2981
977,120210460,2012-04-29,20:10,34.0836,-118.2917
978,120208156,2012-03-18,02:05,34.0729,-118.2664
981,120210684,2012-05-03,14:39,34.0717,-118.2671
983,120209696,2012-04-15,02:00,34.0667,-118.2546
985,120212207,2012-06-01,22:00,34.0836,-118.295
986,120210780,2012-05-05,03:10,34.0647,-118.2539
997,120212599,2012-06-09,12:00,34.0724,-118.2666
998,120212792,2012-06-11,11:00,34.0746,-118.284
999,120212033,2012-05-30,15:30,34.0777,-118.2932
1005,120210916,2012-04-23,13:30,34.0763,-118.2917
1007,120213409,2012-06-19,08:00,34.064,-118.2505
1010,120207305,2012-03-01,16:30,34.0703,-118.268
1016,120211418,2012-05-19,02:25,34.071,-118.2759
1017,120208583,2012-03-25,23:05,34.0791,-118.2917
1019,120208041,2012-03-15,17:15,34.0737,-118.2659
1021,120209607,2012-04-13,08:00,34.0763,-118.2917
1025,120209186,2012-04-04,18:00,34.0737,-118.2659
1029,120210001,2012-04-20,16:30,34.0764,-118.2892
1047,120210647,2012-05-02,21:50,34.0777,-118.2917
1053,120211820,2012-05-26,12:40,34.0806,-118.2843
1058,120212451,2012-06-07,05:55,34.0737,-118.2775
1060,120211667,2012-05-23,19:15,34.079,-118.2967
1066,120212118,2012-06-01,11:10,34.0706,-118.2614
1068,120209496,2012-04-10,16:30,34.0749,-118.2802
1070,120208735,2012-03-27,17:50,34.076,-118.2737
1073,120211861,2012-05-27,06:15,34.0687,-118.2672
1076,120209255,2012-04-06,16:20,34.0686,-118.2629
1081,120211704,2012-05-24,15:45,34.0777,-118.2917
1082,120207774,2012-03-11,01:15,34.0706,-118.2614
1085,120212528,2012-06-08,06:10,34.0652,-118.2492
1088,120212186,2012-06-02,15:05,34.0632,-118.2513
1092,120209461,2012-04-10,10:30,34.0798,-118.2868
1095,120212384,2012-06-05,14:20,34.0693,-118.2687
1099,120210535,2012-04-28,21:20,34.0703,-118.268
1101,120210257,2012-04-24,21:50,34.0836,-118.2917
